Country Name,Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Country Code_x,Life Expectancy,Code,Health Expenditure (% GDP),Country Code_y,OOP Expenditure,Country Code,Current Health Expenditure
Albania,2015,4.607,9.382,0.639,69.0,0.704,-0.085,0.885,0.579,0.35,ALB,78.644,ALB,2.755,ALB,431.878767602083,ALB,753.180070470931
Albania,2016,4.511,9.417,0.638,69.025,0.73,-0.021,0.901,0.567,0.322,ALB,78.86,ALB,2.842,ALB,458.595282446714,ALB,811.422040321761
Albania,2017,4.64,9.455,0.638,69.05,0.75,-0.033,0.876,0.547,0.334,ALB,79.047,ALB,2.762,ALB,479.413065787341,ALB,838.41698767324
Albania,2018,5.004,9.497,0.684,69.075,0.824,0.005,0.899,0.592,0.319,ALB,79.184,ALB,2.878,ALB,505.92140114953,ALB,896.791354129562
Argentina,2015,6.697,10.083,0.926,66.9,0.881,-0.18,0.851,0.768,0.305,ARG,76.76,ARG,6.853,ARG,531.790216102312,ARG,2050.68083322739
Argentina,2016,6.427,10.051,0.883,66.95,0.848,-0.198,0.851,0.732,0.312,ARG,76.308,ARG,5.619,ARG,539.578063353836,ARG,1997.89109809041
Argentina,2017,6.039,10.069,0.907,67.0,0.832,-0.192,0.841,0.715,0.292,ARG,76.833,ARG,6.644,ARG,513.828236161825,ARG,2413.8600637696
Argentina,2018,5.793,10.032,0.9,67.05,0.846,-0.216,0.855,0.732,0.321,ARG,76.999,ARG,5.965,ARG,603.513608915853,ARG,2401.31901274169
Argentina,2019,6.086,10.002,0.896,67.1,0.817,-0.217,0.83,0.735,0.319,ARG,77.284,ARG,5.954,ARG,561.712248756673,ARG,2346.18668837546
Australia,2015,7.309,10.77,0.952,70.6,0.922,0.327,0.357,0.75,0.21,AUS,82.4,AUS,6.985,AUS,827.048617103679,AUS,4807.89635171632
Australia,2016,7.25,10.781,0.942,70.675,0.922,0.233,0.399,0.736,0.236,AUS,82.4487804878049,AUS,6.942,AUS,857.368432241503,AUS,5059.24596164933
Australia,2017,7.257,10.787,0.95,70.75,0.911,0.312,0.411,0.728,0.225,AUS,82.5,AUS,6.991,AUS,852.420819921859,AUS,5133.73032477183
Australia,2018,7.177,10.801,0.94,70.825,0.916,0.141,0.405,0.706,0.187,AUS,82.7487804878049,AUS,7.009,AUS,866.064628900176,AUS,5331.50783540381
Australia,2019,7.234,10.807,0.943,70.9,0.918,0.115,0.43,0.727,0.202,AUS,82.9,AUS,7.361,AUS,794.288038900903,AUS,5390.86315420617
Australia,2020,7.137,10.794,0.937,70.975,0.905,0.202,0.491,0.726,0.205,AUS,83.2,AUS,7.612,AUS,888.075815176423,AUS,5955.18719180224
Austria,2015,7.076,10.876,0.928,70.4,0.9,0.093,0.557,0.748,0.164,AUT,81.190243902439,AUT,7.678,AUT,994.0,AUT,5205.0
Austria,2016,7.048,10.885,0.926,70.525,0.889,0.074,0.524,0.713,0.197,AUT,81.6414634146342,AUT,7.657,AUT,1054.0,AUT,5477.0
Austria,2017,7.294,10.9,0.906,70.65,0.89,0.128,0.518,0.699,0.18,AUT,81.6439024390244,AUT,7.686,AUT,1080.0,AUT,5641.0
Austria,2018,7.396,10.919,0.912,70.775,0.904,0.048,0.523,0.695,0.226,AUT,81.6926829268293,AUT,7.724,AUT,1088.0,AUT,5905.0
Austria,2019,7.195,10.93,0.964,70.9,0.903,0.054,0.457,0.727,0.205,AUT,81.8951219512195,AUT,7.865,AUT,1124.0,AUT,6276.0
Austria,2020,7.213,10.859,0.925,71.025,0.912,0.004,0.464,0.716,0.206,AUT,81.1926829268293,AUT,8.772,AUT,1087.0,AUT,6531.0
Austria,2021,7.08,10.899,0.863,71.15,0.795,0.158,0.501,0.722,0.259,AUT,81.190243902439,AUT,9.555,AUT,1147.0,AUT,7272.0
Belgium,2015,6.904,10.809,0.885,70.0,0.869,0.056,0.469,0.747,0.24,BEL,80.9926829268293,BEL,8.265,BEL,952.063808378902,BEL,5004.91066069164
Belgium,2016,6.949,10.816,0.929,70.15,0.866,-0.062,0.497,0.701,0.26,BEL,81.4390243902439,BEL,8.305,BEL,970.513975500947,BEL,5254.7996743285
Belgium,2017,6.928,10.829,0.922,70.3,0.857,0.049,0.543,0.713,0.234,BEL,81.4926829268293,BEL,8.304,BEL,1004.31023497775,BEL,5458.28053823334
Belgium,2018,6.892,10.842,0.93,70.45,0.808,-0.13,0.63,0.682,0.25,BEL,81.5951219512195,BEL,8.337,BEL,1058.11823459262,BEL,5719.84628422139
Belgium,2019,6.772,10.859,0.884,70.6,0.776,-0.178,0.672,0.699,0.244,BEL,81.9951219512195,BEL,8.107,BEL,1196.67915563839,BEL,6041.60189145965
Belgium,2020,6.839,10.799,0.904,70.75,0.767,-0.172,0.634,0.619,0.26,BEL,80.6951219512195,BEL,8.491,BEL,1064.32906109321,BEL,6119.04597737963
Brazil,2015,6.547,9.617,0.907,64.7,0.799,-0.021,0.771,0.687,0.325,BRA,74.332,BRA,3.861,BRA,323.421986942402,BRA,1309.01077612951
Brazil,2016,6.375,9.575,0.912,64.875,0.807,-0.106,0.781,0.711,0.302,BRA,74.442,BRA,3.952,BRA,318.138639558982,BRA,1302.74842638917
Brazil,2017,6.333,9.58,0.905,65.05,0.765,-0.181,0.794,0.669,0.308,BRA,74.827,BRA,3.959,BRA,335.512772450882,BRA,1371.23449971244
Brazil,2018,6.191,9.59,0.882,65.225,0.751,-0.123,0.763,0.677,0.35,BRA,75.109,BRA,3.897,BRA,351.716009103111,BRA,1416.76470801618
Brazil,2019,6.451,9.595,0.899,65.4,0.83,-0.068,0.762,0.701,0.337,BRA,75.338,BRA,3.93,BRA,366.104226918696,BRA,1471.48906453933
Bulgaria,2015,4.865,9.903,0.908,65.9,0.637,-0.207,0.941,0.556,0.214,BGR,74.6146341463415,BGR,4.148,BGR,576.0,BGR,1355.0
Bulgaria,2016,4.838,9.94,0.926,66.0,0.7,-0.177,0.936,0.545,0.172,BGR,74.8121951219512,BGR,4.128,BGR,645.0,BGR,1491.0
Bulgaria,2017,5.097,9.974,0.942,66.1,0.689,-0.16,0.911,0.542,0.189,BGR,74.8146341463415,BGR,4.222,BGR,676.0,BGR,1603.0
Bulgaria,2018,5.099,10.008,0.924,66.2,0.724,-0.182,0.952,0.554,0.189,BGR,74.9634146341464,BGR,4.33,BGR,661.0,BGR,1681.0
Bulgaria,2019,5.108,10.055,0.948,66.3,0.822,-0.115,0.943,0.577,0.2,BGR,75.1121951219512,BGR,4.295,BGR,672.0,BGR,1778.0
Bulgaria,2020,5.598,10.02,0.916,66.4,0.818,-0.012,0.901,0.642,0.221,BGR,73.6585365853659,BGR,5.353,BGR,760.0,BGR,2139.0
Canada,2015,7.413,10.769,0.939,71.1,0.931,0.247,0.427,0.792,0.286,CAN,81.8156097560976,CAN,7.591,CAN,706.200745518518,CAN,4793.06242283962
Canada,2016,7.245,10.768,0.924,71.15,0.912,0.205,0.385,0.768,0.237,CAN,81.9248780487805,CAN,7.688,CAN,801.6751063517,CAN,5126.21964690082
Canada,2017,7.415,10.786,0.934,71.2,0.945,0.157,0.362,0.799,0.218,CAN,81.8329268292683,CAN,7.574,CAN,835.169347367958,CAN,5268.3075613014
Canada,2018,7.175,10.799,0.923,71.25,0.946,0.1,0.372,0.773,0.259,CAN,81.8439024390244,CAN,7.577,CAN,850.889261182592,CAN,5456.31435127905
Canada,2019,7.109,10.803,0.925,71.3,0.912,0.105,0.436,0.781,0.285,CAN,82.2239024390244,CAN,7.641,CAN,849.693431035139,CAN,5497.48703168996
Canada,2020,7.025,10.74,0.931,71.35,0.887,0.043,0.434,0.738,0.307,CAN,81.6604878048781,CAN,9.701,CAN,850.699117509557,CAN,6175.25973280269
Canada,2021,6.939,10.783,0.926,71.4,0.898,0.189,0.384,0.763,0.276,CAN,81.5870731707317,CAN,8.695,CAN,918.846162507433,CAN,6552.21935394823
Chile,2015,6.533,10.105,0.827,69.4,0.769,0.032,0.812,0.752,0.333,CHL,79.746,CHL,4.878,CHL,653.969490002362,CHL,1895.0553556297
Chile,2016,6.579,10.11,0.841,69.55,0.652,0.094,0.858,0.792,0.283,CHL,80.079,CHL,4.983,CHL,698.628107322825,CHL,2010.3926890466
Chile,2017,6.32,10.108,0.88,69.7,0.79,-0.028,0.836,0.765,0.291,CHL,80.35,CHL,5.454,CHL,743.183752793963,CHL,2231.44151743259
Chile,2018,6.436,10.13,0.89,69.85,0.789,-0.068,0.816,0.755,0.276,CHL,80.133,CHL,5.524,CHL,784.130922087176,CHL,2358.52062379086
Chile,2019,5.942,10.119,0.869,70.0,0.659,-0.11,0.86,0.741,0.337,CHL,80.326,CHL,5.656,CHL,786.16708700809,CHL,2396.84871455773
Chile,2020,6.151,10.042,0.888,70.15,0.781,0.026,0.812,0.753,0.336,CHL,79.377,CHL,6.354,CHL,711.350692663094,CHL,2426.10086092236
Chile,2021,6.436,10.143,0.891,70.3,0.803,-0.052,0.859,0.735,0.221,CHL,78.944,CHL,5.834,CHL,801.332545715176,CHL,2647.61196755769
China,2015,5.304,9.442,0.794,68.0,,-0.25,,0.667,0.171,CHN,76.977,CHN,2.986,CHN,222.306307793897,CHN,633.544695266337
China,2016,5.325,9.503,0.742,68.125,,-0.233,,0.683,0.146,CHN,77.218,CHN,2.892,CHN,238.521323930989,CHN,664.290359967466
China,2017,5.099,9.564,0.772,68.25,0.878,-0.18,,0.682,0.214,CHN,77.248,CHN,2.86,CHN,256.588997834265,CHN,711.750561442244
China,2018,5.131,9.625,0.788,68.375,0.895,-0.164,,0.722,0.19,CHN,77.744,CHN,2.914,CHN,282.316031844437,CHN,789.684853595374
China,2019,5.144,9.679,0.822,68.5,0.927,-0.178,,0.76,0.147,CHN,77.968,CHN,3.002,CHN,312.080217657726,CHN,885.836048204488
Colombia,2015,6.388,9.562,0.89,68.3,0.791,-0.106,0.843,0.803,0.292,COL,76.257,COL,5.741,COL,153.471791001215,COL,996.502149019741
Colombia,2016,6.234,9.572,0.882,68.475,0.835,-0.106,0.898,0.77,0.294,COL,76.471,COL,5.731,COL,164.272521880675,COL,1052.20536497269
Colombia,2017,6.157,9.57,0.909,68.65,0.838,-0.163,0.875,0.79,0.299,COL,76.646,COL,5.882,COL,169.104795346028,COL,1100.72691831969
Colombia,2018,5.984,9.577,0.871,68.825,0.851,-0.154,0.855,0.775,0.301,COL,76.748,COL,5.892,COL,174.928578768091,COL,1156.11325114522
Colombia,2019,6.35,9.59,0.873,69.0,0.822,-0.177,0.854,0.791,0.322,COL,76.752,COL,6.284,COL,181.979759015383,COL,1234.79408351458
Colombia,2020,5.709,9.5,0.797,69.175,0.84,-0.091,0.808,0.759,0.34,COL,74.769,COL,7.07,COL,190.92161430702,COL,1316.13047505152
Costa Rica,2015,6.854,9.85,0.878,70.0,0.907,-0.068,0.761,0.811,0.286,CRI,79.086,CRI,5.682,CRI,298.756522417363,CRI,1321.97635580109
Costa Rica,2016,7.136,9.881,0.901,70.0,0.873,-0.042,0.781,0.83,0.281,CRI,79.459,CRI,5.494,CRI,307.026484692033,CRI,1382.81825553883
Costa Rica,2017,7.225,9.912,0.922,70.0,0.936,-0.086,0.742,0.791,0.275,CRI,79.377,CRI,5.282,CRI,302.017329003069,CRI,1420.89768620743
Costa Rica,2018,7.141,9.928,0.876,70.0,0.942,-0.117,0.781,0.802,0.326,CRI,79.484,CRI,5.379,CRI,345.337517820352,CRI,1540.55572224876
Costa Rica,2019,6.998,9.944,0.906,70.0,0.927,-0.156,0.836,0.791,0.303,CRI,79.427,CRI,5.339,CRI,364.470142878634,CRI,1632.59689185347
Costa Rica,2020,6.338,9.892,0.834,70.0,0.889,-0.139,0.772,0.759,0.35,CRI,79.277,CRI,5.976,CRI,344.393983176976,CRI,1697.62911956665
Croatia,2015,5.205,10.124,0.768,67.9,0.694,-0.104,0.849,0.57,0.294,HRV,77.2756097560976,HRV,5.537,HRV,170.0,HRV,1553.0
Croatia,2016,5.417,10.166,0.798,68.075,0.672,-0.072,0.884,0.569,0.337,HRV,78.0219512195122,HRV,5.561,HRV,186.0,HRV,1692.0
Croatia,2017,5.343,10.211,0.77,68.25,0.716,-0.112,0.892,0.618,0.316,HRV,77.8268292682927,HRV,5.506,HRV,197.0,HRV,1798.0
Croatia,2018,5.536,10.248,0.91,68.425,0.691,-0.158,0.925,0.512,0.29,HRV,78.0707317073171,HRV,5.542,HRV,221.0,HRV,1943.0
Croatia,2019,5.626,10.287,0.936,68.6,0.739,-0.145,0.932,0.504,0.269,HRV,78.4243902439025,HRV,5.579,HRV,246.0,HRV,2143.0
Croatia,2020,6.508,10.202,0.923,68.775,0.837,-0.071,0.961,0.681,0.286,HRV,77.7243902439024,HRV,6.538,HRV,239.0,HRV,2288.0
Cyprus,2015,5.439,10.451,0.77,71.6,0.628,0.107,0.893,0.66,0.383,CYP,80.966,CYP,2.872,CYP,947.0,CYP,2170.0
Cyprus,2016,5.795,10.51,0.786,71.8,0.756,-0.036,0.898,0.631,0.336,CYP,81.056,CYP,2.8,CYP,1069.0,CYP,2396.0
Cyprus,2017,6.062,10.556,0.819,72.0,0.812,0.036,0.851,0.67,0.301,CYP,81.328,CYP,2.758,CYP,1145.0,CYP,2558.0
Cyprus,2018,6.276,10.599,0.826,72.2,0.794,-0.031,0.848,0.663,0.298,CYP,81.382,CYP,2.877,CYP,1240.0,CYP,2795.0
Cyprus,2019,6.137,10.639,0.776,72.4,0.74,-0.018,0.865,0.663,0.29,CYP,81.397,CYP,3.857,CYP,1057.0,CYP,3133.0
Cyprus,2020,6.26,10.583,0.806,72.6,0.763,-0.086,0.816,0.671,0.284,CYP,81.391,CYP,6.323,CYP,622.0,CYP,3498.0
Czechia,2015,6.608,10.496,0.911,68.3,0.808,-0.152,0.886,0.689,0.206,CZE,78.5780487804878,CZE,5.928,CZE,371.369509841255,CZE,2499.87668097591
Czechia,2016,6.736,10.519,0.931,68.425,0.85,-0.204,0.9,0.71,0.201,CZE,79.0268292682927,CZE,5.826,CZE,398.964067359812,CZE,2690.85080041556
Czechia,2017,6.79,10.567,0.901,68.55,0.832,-0.183,0.867,0.672,0.227,CZE,78.9780487804878,CZE,6.228,CZE,417.447465271976,CZE,2869.78513781705
Czechia,2018,7.034,10.595,0.929,68.675,0.79,-0.299,0.851,0.674,0.178,CZE,79.0292682926829,CZE,6.342,CZE,436.864764220385,CZE,3079.39892120233
Czechia,2020,6.897,10.562,0.964,68.925,0.906,-0.135,0.884,0.748,0.29,CZE,78.1756097560976,CZE,8.102,CZE,455.021448888738,CZE,3947.01711822376
Denmark,2015,7.514,10.876,0.96,70.5,0.941,0.216,0.191,0.801,0.218,DNK,80.7024390243902,DNK,8.715,DNK,686.0,DNK,5095.0
Denmark,2016,7.558,10.9,0.954,70.625,0.948,0.132,0.21,0.786,0.208,DNK,80.8536585365854,DNK,8.63,DNK,723.0,DNK,5348.0
Denmark,2017,7.594,10.922,0.952,70.75,0.955,0.149,0.181,0.779,0.206,DNK,81.1024390243903,DNK,8.478,DNK,768.0,DNK,5606.0
Denmark,2018,7.649,10.936,0.958,70.875,0.935,0.012,0.151,0.773,0.206,DNK,80.9536585365854,DNK,8.457,DNK,804.0,DNK,5817.0
Denmark,2019,7.693,10.948,0.958,71.0,0.963,0.015,0.174,0.797,0.181,DNK,81.4512195121951,DNK,8.473,DNK,840.0,DNK,6091.0
Denmark,2020,7.515,10.924,0.947,71.125,0.938,0.045,0.214,0.753,0.227,DNK,81.6024390243903,DNK,8.934,DNK,832.0,DNK,6434.0
Denmark,2021,7.699,10.968,0.945,71.25,0.933,0.13,0.173,0.792,0.206,DNK,81.4048780487805,DNK,9.264,DNK,887.0,DNK,7043.0
Estonia,2015,5.629,10.343,0.918,68.3,0.815,-0.169,0.569,0.649,0.183,EST,77.590243902439,EST,4.961,EST,459.783403501586,EST,1938.46680432487
Estonia,2016,5.65,10.374,0.938,68.525,0.843,-0.155,0.639,0.657,0.177,EST,77.6414634146342,EST,5.003,EST,498.135706066527,EST,2098.46326939875
Estonia,2017,5.938,10.429,0.936,68.75,0.862,-0.107,0.668,0.74,0.16,EST,78.0926829268293,EST,4.854,EST,554.253355927847,EST,2234.29079645641
Estonia,2018,6.091,10.463,0.933,68.975,0.886,-0.147,0.621,0.73,0.163,EST,78.2439024390244,EST,4.952,EST,598.501311275005,EST,2441.55627685688
Estonia,2019,6.035,10.496,0.934,69.2,0.887,-0.101,0.576,0.738,0.156,EST,78.6463414634147,EST,5.081,EST,637.180096755404,EST,2663.28627060849
Estonia,2020,6.453,10.488,0.958,69.425,0.954,-0.09,0.398,0.762,0.188,EST,78.5951219512195,EST,5.981,EST,640.823644029542,EST,2990.55197055816
Estonia,2021,6.554,10.564,0.946,69.65,0.926,0.046,0.441,0.761,0.176,EST,76.9439024390244,EST,5.86,EST,719.342784435727,EST,3258.7810312743
Finland,2015,7.448,10.716,0.948,70.7,0.93,0.105,0.223,0.736,0.191,FIN,81.4804878048781,FIN,7.421,FIN,764.0,FIN,4099.0
Finland,2016,7.66,10.741,0.954,70.775,0.948,-0.033,0.25,0.769,0.182,FIN,81.4292682926829,FIN,7.148,FIN,812.0,FIN,4214.0
Finland,2017,7.788,10.77,0.964,70.85,0.962,-0.008,0.192,0.756,0.176,FIN,81.6317073170732,FIN,6.974,FIN,827.0,FIN,4342.0
Finland,2018,7.858,10.78,0.962,70.925,0.938,-0.133,0.199,0.749,0.182,FIN,81.7341463414634,FIN,6.959,FIN,827.0,FIN,4485.0
Finland,2019,7.78,10.791,0.937,71.0,0.948,-0.058,0.195,0.732,0.181,FIN,81.9829268292683,FIN,7.136,FIN,828.0,FIN,4752.0
Finland,2020,7.889,10.766,0.962,71.075,0.962,-0.123,0.164,0.748,0.193,FIN,81.9317073170732,FIN,7.538,FIN,830.0,FIN,5038.0
France,2015,6.358,10.677,0.896,71.7,0.817,-0.145,0.641,0.74,0.215,FRA,82.3219512195122,FRA,9.438,FRA,456.032645827396,FRA,4682.91984248056
France,2016,6.475,10.685,0.885,71.8,0.787,-0.097,0.623,0.715,0.27,FRA,82.5731707317073,FRA,9.521,FRA,474.461201083983,FRA,4930.0436598678
France,2017,6.635,10.705,0.931,71.9,0.834,-0.129,0.601,0.716,0.242,FRA,82.5756097560976,FRA,9.43,FRA,491.423846726068,FRA,5069.78688558068
France,2018,6.666,10.72,0.921,72.0,0.816,-0.143,0.582,0.705,0.282,FRA,82.6756097560976,FRA,9.345,FRA,496.48214681515,FRA,5226.19721002876
France,2019,6.69,10.735,0.958,72.1,0.827,-0.139,0.568,0.693,0.25,FRA,82.8268292682927,FRA,9.273,FRA,531.0211874142,FRA,5617.51648515809
France,2020,6.714,10.651,0.947,72.2,0.823,-0.176,0.565,0.69,0.231,FRA,82.1756097560976,FRA,10.338,FRA,518.01667519614,FRA,5860.99512123534
Germany,2015,7.037,10.843,0.926,70.1,0.889,0.172,0.412,0.722,0.203,DEU,80.6414634146341,DEU,9.414,DEU,694.268686744904,DEU,5359.85239152038
Germany,2016,6.874,10.857,0.906,70.3,0.871,0.142,0.446,0.709,0.187,DEU,80.990243902439,DEU,9.473,DEU,730.798169552883,DEU,5698.08169000408
Germany,2017,7.074,10.879,0.892,70.5,0.841,0.139,0.414,0.707,0.196,DEU,80.9926829268293,DEU,9.554,DEU,770.459538534074,DEU,6026.14131620813
Germany,2018,7.118,10.886,0.92,70.7,0.877,0.028,0.496,0.74,0.243,DEU,80.8926829268293,DEU,9.638,DEU,827.269491125635,DEU,6345.44867298703
Germany,2019,7.035,10.894,0.886,70.9,0.885,0.051,0.462,0.712,0.226,DEU,81.2926829268293,DEU,9.827,DEU,896.409259015558,DEU,6730.3471028493
Germany,2020,7.312,10.856,0.905,71.1,0.864,-0.068,0.424,0.698,0.206,DEU,81.0414634146342,DEU,10.911,DEU,880.387496258826,DEU,7167.87224910866
Germany,2021,6.755,10.881,0.868,71.3,0.778,0.074,0.418,0.703,0.251,DEU,80.790243902439,DEU,11.016,DEU,916.205849453554,DEU,7606.96280449099
Greece,2015,5.623,10.249,0.835,70.4,0.532,-0.277,0.824,0.637,0.277,GRC,81.0365853658537,GRC,4.803,GRC,789.942617335408,GRC,2192.19072229064
Greece,2016,5.303,10.248,0.803,70.525,0.482,-0.265,0.898,0.594,0.336,GRC,81.3878048780488,GRC,5.186,GRC,796.884591514643,GRC,2322.72593521477
Greece,2017,5.148,10.261,0.753,70.65,0.438,-0.295,0.872,0.516,0.333,GRC,81.2878048780488,GRC,4.926,GRC,813.334462233845,GRC,2324.13045137244
Greece,2018,5.409,10.28,0.794,70.775,0.564,-0.34,0.86,0.564,0.255,GRC,81.7878048780488,GRC,4.808,GRC,867.062668904367,GRC,2403.1622215565
Greece,2019,5.952,10.3,0.891,70.9,0.614,-0.293,0.848,0.56,0.236,GRC,81.6390243902439,GRC,5.046,GRC,859.059524374691,GRC,2553.47799561598
Greece,2020,5.788,10.207,0.779,71.025,0.565,-0.246,0.764,0.629,0.322,GRC,81.2878048780488,GRC,5.879,GRC,901.358247258782,GRC,2695.57318409784
Hungary,2015,5.344,10.223,0.859,66.6,0.558,-0.204,0.908,0.65,0.245,HUN,75.5682926829269,HUN,4.671,HUN,504.0,HUN,1834.0
Hungary,2016,5.449,10.248,0.9,66.75,0.554,-0.193,0.924,0.59,0.243,HUN,76.0634146341464,HUN,4.756,HUN,540.0,HUN,1949.0
